,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
TOTAL,"43,044","43,686","62,041","92,404","124,694","117,094","106,804","109,351","106,535","103,327","103,049","95,020"
0-4,"1,573","2,003","3,246","2,821","3,917","3,613","5,883","5,933","5,267","5,109","5,095","4,697"
5-9,"1,441","1,678","2,431","2,093","3,120","2,848","4,638","4,677","4,642","4,503","4,492","4,141"
10-14,"1,225","1,326","2,019","1,558","2,334","2,114","3,443","3,472","3,630","3,519","3,505","3,237"
15-19,"2,281","2,395","3,233","2,793","4,616","4,109","5,788","5,872","5,336","5,175","5,163","4,759"
20-24,"7,204","6,672","9,462","12,203","15,258","14,656","14,988","15,418","13,115","12,720","12,686","11,697"
25-29,"10,434","10,029","13,998","20,210","24,435","23,812","18,688","19,282","20,532","19,911","19,857","18,310"
30-34,"5,931","5,819","8,962","14,480","18,583","17,810","13,974","14,418","13,470","13,061","13,026","12,013"
35-39,"3,662","3,925","5,139","10,117","13,107","12,274","9,662","9,969","10,475","10,158","10,131","9,341"
40-44,"2,894","2,761","4,499","7,560","11,136","10,185","7,981","8,235","8,007","7,767","7,746","7,141"
45-49,"2,077","2,044","2,732","5,904","9,034","8,130","6,415","6,619","6,712","6,511","6,492","5,987"
50-54,"1,393","1,651","2,381","4,864","7,302","6,689","5,867","5,951","4,791","4,648","4,636","4,273"
55-59,"1,093","1,056","1,242","3,304","4,912","4,467","3,947","4,003","3,980","3,861","3,851","3,551"
60-64,780,731,"1,066","1,789","2,726","2,487","2,207","2,238","3,127","3,033","3,025","2,790"
65-69,468,717,639,"1,144","1,734","1,583","1,351","1,326","1,875","1,820","1,815","1,673"
70-74,240,406,389,744,"1,155","1,063",905,889,846,821,820,755
75-79,144,230,313,482,828,756,640,628,387,376,375,345
80-84,132,162,201,212,336,326,278,273,203,195,195,182
85+,72,81,89,126,161,172,149,148,140,139,139,128